URL,Priority,Direction,Start Port,End Port,Global,Regular Expression,Override Zero Trust Policy,Note
imagetemplate.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
digresia.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ryanbauman.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
allisons.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
phatsilver.ca,0,2,0,0,1,0,0,Afraid.org 6/23/2026
enemyterritory.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fiat500.li,0,2,0,0,1,0,0,Afraid.org 6/23/2026
relaps-club.li,0,2,0,0,1,0,0,Afraid.org 6/23/2026
awiki.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
iwantthisjunk.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
zhanwenhan.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
vaizer.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fragmentary.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
voyez.ca,0,2,0,0,1,0,0,Afraid.org 6/23/2026
mine.bz,0,2,0,0,1,0,0,Afraid.org 6/23/2026
120v.ac,0,2,0,0,1,0,0,Afraid.org 6/23/2026
encyclopedia.tw,0,2,0,0,1,0,0,Afraid.org 6/23/2026
dicionar.io,0,2,0,0,1,0,0,Afraid.org 6/23/2026
crum-family.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
music2dot0.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
notici.as,0,2,0,0,1,0,0,Afraid.org 6/23/2026
evils.in,0,2,0,0,1,0,0,Afraid.org 6/23/2026
wild1.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
wildsurf.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
konstruktion.co.uk,0,2,0,0,1,0,0,Afraid.org 6/23/2026
wiki.gd,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bad.mn,0,2,0,0,1,0,0,Afraid.org 6/23/2026
southquay.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
webs.vc,0,2,0,0,1,0,0,Afraid.org 6/23/2026
xn--ds-bja.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
pixelfucker.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
pedie.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
westindiaquay.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
heronquays.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
glengall.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
surreyquays.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
shekinahphotography.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
allez.la,0,2,0,0,1,0,0,Afraid.org 6/23/2026
jpleventos.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
toadfishmonastery.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
jundy.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fullsense.com.br,0,2,0,0,1,0,0,Afraid.org 6/23/2026
404.mn,0,2,0,0,1,0,0,Afraid.org 6/23/2026
oc.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tscng.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
xn--ds-bja.info,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ame-life.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
castleman.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
casa-raul.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
rren.ch,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bellywings.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tallison.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
mega-link.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
mudchute.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
seasol.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
serverpit.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
navigogroup.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
surfnet.ca,0,2,0,0,1,0,0,Afraid.org 6/23/2026
tantrum.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
hbmc.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
feezor.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
comtek.com.ar,0,2,0,0,1,0,0,Afraid.org 6/23/2026
itekgroup.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
btbtrading.it,0,2,0,0,1,0,0,Afraid.org 6/23/2026
juleg.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fromhell.lv,0,2,0,0,1,0,0,Afraid.org 6/23/2026
bowmansarrow.us,0,2,0,0,1,0,0,Afraid.org 6/23/2026
nabozny.pl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
stevekoch.ca,0,2,0,0,1,0,0,Afraid.org 6/23/2026
port0.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
parikh.net,0,2,0,0,1,0,0,Afraid.org 6/23/2026
fowlergo.org,0,2,0,0,1,0,0,Afraid.org 6/23/2026
flamex.hm,0,2,0,0,1,0,0,Afraid.org 6/23/2026
packet-lord.hm,0,2,0,0,1,0,0,Afraid.org 6/23/2026
grupoinca.com.pe,0,2,0,0,1,0,0,Afraid.org 6/23/2026
ro0t.hm,0,2,0,0,1,0,0,Afraid.org 6/23/2026
andreiolaru.ro,0,2,0,0,1,0,0,Afraid.org 6/23/2026
appia.com.au,0,2,0,0,1,0,0,Afraid.org 6/23/2026
dateeasily.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
freetruthordare.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
lozan.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
interplan.com.mx,0,2,0,0,1,0,0,Afraid.org 6/23/2026
patelmortgage.com,0,2,0,0,1,0,0,Afraid.org 6/23/2026
octagono.cl,0,2,0,0,1,0,0,Afraid.org 6/23/2026
